PanneauID,Date,Zone_Installation,Production_kWh,Ensoleillement_Heures,Rendement_Pct
SOL_001,2025-01-01,Toit_Sud,38.5,8.5,20.3
SOL_002,2025-01-01,Toit_Nord,22.3,6.2,17.8
SOL_003,2025-01-01,Parking,31.7,7.8,19.5
SOL_004,2025-01-01,Toit_Sud,42.1,9.2,21.4
SOL_005,2025-01-01,Toit_Nord,18.9,5.5,16.2
SOL_006,2025-01-01,Parking,28.4,7.1,18.7
SOL_007,2025-01-01,Toit_Sud,39.8,8.8,20.9
SOL_008,2025-01-01,Toit_Nord,24.6,6.7,18.1
SOL_009,2025-01-01,Parking,33.2,7.9,19.8
SOL_010,2025-01-01,Toit_Sud,41.3,9.0,21.1
SOL_011,2025-01-01,Toit_Nord,20.5,6.0,17.3
SOL_012,2025-01-01,Parking,29.7,7.4,19.0
SOL_013,2025-01-01,Toit_Sud,37.9,8.4,20.5
SOL_014,2025-01-01,Toit_Nord,23.1,6.5,17.9
SOL_015,2025-01-01,Parking,32.5,7.7,19.6
SOL_016,2025-01-01,Toit_Sud,40.6,8.9,21.0
SOL_017,2025-01-01,Toit_Nord,21.8,6.3,17.6
SOL_018,2025-01-01,Parking,30.4,7.5,19.2
SOL_019,2025-01-01,Toit_Sud,38.2,8.6,20.4
SOL_020,2025-01-01,Toit_Nord,19.7,5.8,16.9
SOL_021,2025-01-01,Parking,27.9,7.2,18.8
SOL_022,2025-01-01,Toit_Sud,43.4,9.4,21.6
SOL_023,2025-01-01,Toit_Nord,25.3,6.9,18.3
SOL_024,2025-01-01,Parking,34.1,8.1,19.9
SOL_025,2025-01-01,Toit_Sud,36.8,8.2,20.1
SOL_001,2025-01-02,Toit_Sud,35.2,8.0,19.8
SOL_002,2025-01-02,Toit_Nord,20.1,5.9,17.1
SOL_003,2025-01-02,Parking,29.3,7.3,18.9
SOL_004,2025-01-02,Toit_Sud,39.7,8.7,20.7
SOL_005,2025-01-02,Toit_Nord,17.4,5.2,15.9